"","akorda.kz","khabar.kz","nur.kz","sputnik.kz","tengrinews.kz","zakon.kz","mean1","mean2","diff","lb","ub","pvalue",""
"53","0.0043","0.066","0","0","0","0","0.0234333333333333","0","0.0234333333333333","-0.0682970746527197","0.115163741319386","0.38633552374162","self government"
"54","0.024","0.17","0.17","0.13","0.14","0.49","0.121333333333333","0.253333333333333","-0.132","-0.570679634436485","0.306679634436485","0.386945411581816","terrorist"
"55","0.011","0.092","0.043","0.035","0.097","0.11","0.0486666666666667","0.0806666666666667","-0.032","-0.123685460418375","0.059685460418375","0.387365374119696","takeover"
"56","0.013","0.092","0.16","0.07","0.12","0.33","0.0883333333333333","0.173333333333333","-0.085","-0.369510107858335","0.199510107858335","0.414768321133313","investigation"
"57","0.097","0.14","0.017","0.04","0.012","0.088","0.0846666666666667","0.0466666666666667","0.038","-0.0895209030952711","0.165520903095271","0.429476267746063","parliament"
"58","0","0.046","0.022","0.026","0.024","0.073","0.0226666666666667","0.041","-0.0183333333333333","-0.0768771385980639","0.0402104719313972","0.429522068140877","ammunition"
"59","0.0086","0.015","0.0087","0.0023","0.014","0.11","0.0107666666666667","0.0421","-0.0313333333333333","-0.177340117792593","0.114673451125926","0.455464905240292","danger"
"60","0.0043","0.02","0.033","0.0047","0.024","0.12","0.0191","0.0495666666666667","-0.0304666666666667","-0.174141130621175","0.113207797287841","0.485339436467023","subject"
"61","0.019","0.02","0.0047","0.007","0.085","0.015","0.0145666666666667","0.0356666666666667","-0.0211","-0.12247825088419","0.0802782508841901","0.485826560596462","enterprise"
"62","0.099","0.61","0.84","0.35","0.36","0.3","0.516333333333333","0.336666666666667","0.179666666666667","-0.753167562245981","1.11250089557931","0.498459462565729","president"
"63","0.015","0.11","0.069","0.051","0.047","0.029","0.0646666666666667","0.0423333333333333","0.0223333333333333","-0.0878162941225987","0.132482960789265","0.505280923778073","disaster"
"64","0.0043","0.041","0.026","0.077","0.028","0.015","0.0237666666666667","0.04","-0.0162333333333333","-0.0833175214054035","0.0508508547387368","0.505791482617997","silovik"
"65","0.22","0.31","0.19","0.16","0.2","0.27","0.24","0.21","0.03","-0.104808711138229","0.164808711138229","0.56861491501663","region"
"66","0.026","0.12","0.082","0.072","0.043","0.058","0.076","0.0576666666666667","0.0183333333333333","-0.0877623543933362","0.124429021060003","0.577395181234053","akim"
"67","0.017","0.12","0.1","0.056","0.1","0.16","0.079","0.105333333333333","-0.0263333333333333","-0.147541584797689","0.0948749181310221","0.578677323115754","thug"
"68","0.035","0.041","0.065","0.054","0.024","0.11","0.047","0.0626666666666667","-0.0156666666666667","-0.110984814447376","0.0796514811140425","0.607185774357772","freedom"
"69","0.013","0.02","0.017","0.007","0.014","0.058","0.0166666666666667","0.0263333333333333","-0.00966666666666667","-0.0768636904400391","0.0575303571067057","0.607322174084138","complaint"
"70","0.019","0.066","0.022","0.0093","0.055","0.0073","0.0356666666666667","0.0238666666666667","0.0118","-0.0486262710139724","0.0722262710139724","0.616417772317526","code"
"71","0.056","0.14","0.11","0.013","0.16","0.23","0.102","0.134333333333333","-0.0323333333333333","-0.271973553988557","0.20730688732189","0.673949670119774","participant"
"72","0.06","0.092","0.039","0.058","0.053","0.11","0.0636666666666667","0.0736666666666667","-0.01","-0.0769890802423736","0.0569890802423736","0.697289304993779","requiremetn"
"73","0.011","0.051","0.056","0.0093","0.093","0.051","0.0393333333333333","0.0511","-0.0117666666666667","-0.0973990263654528","0.0738656930321194","0.701100530030097","article"
"74","0.011","0.066","0.03","0.061","0.04","0.029","0.0356666666666667","0.0433333333333333","-0.00766666666666667","-0.064864058948291","0.0495307256149577","0.707045715639931","security"
"75","0.093","0.22","0.16","0.17","0.11","0.15","0.157666666666667","0.143333333333333","0.0143333333333333","-0.118357482898892","0.147024149565559","0.748915310613787","authority"
"76","0","0.026","0.022","0.012","0.002","0.051","0.016","0.0216666666666667","-0.00566666666666667","-0.0589855443911382","0.0476522110578049","0.760218746586313","commandant"
"77","0.048","0.097","0.14","0.061","0.036","0.15","0.095","0.0823333333333333","0.0126666666666667","-0.111694130027611","0.137027463360944","0.786882671910243","majilis"
"78","0.13","0.074","0.042","0.037","0.12","0.12","0.082","0.0923333333333333","-0.0103333333333333","-0.115427785942815","0.0947611192761483","0.798031295218868","business"
"79","0.0065","0.087","0.1","0.047","0.051","0.08","0.0645","0.0593333333333333","0.00516666666666667","-0.105844772791818","0.116178106125152","0.880316686954233","ministry"
"80","0.16","0.32","0.26","0.16","0.17","0.45","0.246666666666667","0.26","-0.0133333333333333","-0.356177698804851","0.329511032138185","0.907981003955748","body"
"81","0.013","0.051","0.1","0.0047","0.067","0.08","0.0546666666666667","0.0505666666666667","0.0041","-0.0912780217237829","0.0994780217237829","0.910561780989617","victim"
"82","0.011","0.11","0.13","0.026","0.11","0.13","0.0836666666666667","0.0886666666666667","-0.005","-0.141217821746241","0.131217821746241","0.923211848923604","protest"
"83","0.019","0.14","0.14","0.12","0.19","0.0073","0.0996666666666667","0.105766666666667","-0.00609999999999998","-0.196968027501345","0.184768027501345","0.931910297096074","weapon"
"84","0.017","0.051","0.048","0.023","0.016","0.08","0.0386666666666667","0.0396666666666667","-0.001","-0.0733534395785082","0.0713534395785081","0.967997179770702","violation"
